singer,title,cheeze,genre,cover_image,country
린,자기야 여보야 사랑아,,발라드,https://image.bugsm.co.kr/album/images/200/2227/222710.jpg?version=20211216002808,K-POP
마골피,비행소녀,,발라드,https://image.bugsm.co.kr/album/images/200/80251/8025180.jpg?version=20211215013133,K-POP
멜로망스,좋은 날,,발라드,https://image.bugsm.co.kr/album/images/200/201845/20184500.jpg?version=20231026054713,K-POP
멜로망스,고백,,발라드,https://image.bugsm.co.kr/album/images/200/40643/4064302.jpg?version=20230825002751,K-POP
멜로망스,선물,,발라드,https://image.bugsm.co.kr/album/images/200/201074/20107410.jpg?version=20220324021603,K-POP
김민석,취중고백,,발라드,https://image.bugsm.co.kr/album/images/200/40691/4069154.jpg?version=20240223043204,K-POP
멜로망스,사랑인가 봐,,발라드,https://image.bugsm.co.kr/album/images/200/40713/4071363.jpg?version=20220330120007,K-POP
모세,사랑인걸,,발라드,https://image.bugsm.co.kr/album/images/200/95001/9500113.jpg?version=20211215015020,K-POP
문문,비행운,,인디뮤직,https://image.bugsm.co.kr/album/images/200/200654/20065430.jpg?version=20241201001011,K-POP
미로,계절범죄,,록,https://image.bugsm.co.kr/album/images/200/205566/20556620.jpg?version=20230731150017,K-POP
미로,괴물이 피는 숲 ,,발라드,https://image.bugsm.co.kr/album/images/200/41010/4101083.jpg?version=20240511014743,K-POP
미연,Drive,,록,https://image.bugsm.co.kr/album/images/200/40749/4074923.jpg?version=20250503033010,K-POP
미연,달빛에 그려지는,,발라드,https://image.bugsm.co.kr/album/images/200/40903/4090321.jpg?version=20250503012258,K-POP
민쇼크,빈 하늘에 불꽃을 그린다,,인디뮤직,https://image.bugsm.co.kr/album/images/200/204882/20488251.jpg?version=20240206140230,K-POP
민쇼크,보라색계단,,인디뮤직,https://image.bugsm.co.kr/album/images/200/205616/20561675.jpg?version=20240206140244,K-POP
박효신,눈의 꽃,,발라드,https://image.bugsm.co.kr/album/images/200/80019/8001909.jpg?version=20250603011411,K-POP
백아,첫사랑,,인디뮤직,https://image.bugsm.co.kr/album/images/200/201980/20198077.jpg?version=20210217194055,K-POP
백아연,이럴거면 그러지말지,,발라드,https://image.bugsm.co.kr/album/images/200/5046/504618.jpg?version=20200730151340,K-POP
백예린,Antifreeze,,발라드,https://image.bugsm.co.kr/album/images/200/204200/20420099.jpg?version=20250107032322,K-POP
백예린,그건 아마 우리의 잘못은 아닐 거야,,알엔비,https://image.bugsm.co.kr/album/images/200/202383/20238312.jpg?version=20201216092743,K-POP
백예린,산책,,발라드,https://image.bugsm.co.kr/album/images/200/204200/20420099.jpg?version=20250107032322,K-POP
버블시스터즈,그렇게 사랑하고 그렇게 웃었습니다,,발라드,https://image.bugsm.co.kr/album/images/200/80246/8024648.jpg?version=20230701060733,K-POP
버블시스터즈,가시리,,발라드,https://image.bugsm.co.kr/album/images/200/2170/217092.jpg?version=20220722011151,K-POP
벤,바람처럼 날아서,,발라드,https://image.bugsm.co.kr/album/images/200/206951/20695154.jpg?version=20250104230004,K-POP
볼빨간사춘기,Blue,,인디뮤직,https://image.bugsm.co.kr/album/images/200/201221/20122134.jpg?version=20220716012243,K-POP
볼빨간사춘기,프리지아,,인디뮤직,https://image.bugsm.co.kr/album/images/200/5855/585591.jpg?version=20220716004855,K-POP
부석순,청바지,,댄스,https://image.bugsm.co.kr/album/images/200/41129/4112974.jpg?version=20250109012628,K-POP
블랙핑크,How You Like That,,댄스,https://image.bugsm.co.kr/album/images/200/203341/20334175.jpg?version=20250107003416,K-POP
비비,밤양갱,,알엔비,https://image.bugsm.co.kr/album/images/200/40961/4096123.jpg?version=20240301015403,K-POP
비비,책방오빠 문학소녀,,발라드,https://image.bugsm.co.kr/album/images/200/41197/4119725.jpg?version=20250515015331,K-POP
빅나티(서동현),정이라고 하자,,알엔비,https://image.bugsm.co.kr/album/images/200/40745/4074520.jpg?version=20230304013738,K-POP
빅마마,체념,,알엔비,https://image.bugsm.co.kr/album/images/200/275/27516.jpg?version=20250107011902,K-POP
빅마마,배반,,발라드,https://image.bugsm.co.kr/album/images/200/95006/9500678.jpg?version=20250107010142,K-POP
산들,취기를 빌려,,알엔비,https://image.bugsm.co.kr/album/images/200/9887/988734.jpg?version=20210422183751,K-POP
서리,긴 밤,,알엔비,https://image.bugsm.co.kr/album/images/200/40473/4047364.jpg?version=20240223042756,K-POP
서영은,내 안의 그대,,발라드,https://image.bugsm.co.kr/album/images/200/325/32584.jpg?version=20250222035428,K-POP
서영은,혼자가 아닌 나,,발라드,https://image.bugsm.co.kr/album/images/200/335/33591.jpg?version=20240126003529,K-POP
선미,열이올라요,,댄스,https://image.bugsm.co.kr/album/images/200/40772/4077267.jpg?version=20220630063442,K-POP
선우정아,도망가자,,알엔비,https://image.bugsm.co.kr/album/images/200/202938/20293864.jpg?version=20231222013617,K-POP
선우정아,상상,,발라드,https://image.bugsm.co.kr/album/images/200/204768/20476825.jpg?version=20220723013608,K-POP
선우정아,구애,,발라드,https://image.bugsm.co.kr/album/images/200/201072/20107225.jpg?version=20231222010535,K-POP
선우정아,고양이,,재즈,https://image.bugsm.co.kr/album/images/200/201385/20138513.jpg?version=20231222013233,K-POP
성시경,너의 모든 순간,,발라드,https://image.bugsm.co.kr/album/images/200/4132/413209.jpg?version=20231101174008,K-POP
성시경,희재,,발라드,https://image.bugsm.co.kr/album/images/200/90006/9000635.jpg?version=20241101015616,K-POP
성시경,두사람,,발라드,https://image.bugsm.co.kr/album/images/200/80076/8007640.jpg?version=20211215004856,K-POP
성시경,태양계,,발라드,https://image.bugsm.co.kr/album/images/200/2987/298710.jpg?version=20220720023615,K-POP
소녀시대,다시 만난 세계,,댄스,https://image.bugsm.co.kr/album/images/200/80291/8029146.jpg?version=20250107031946,K-POP
손디아,어른,,발라드,https://image.bugsm.co.kr/album/images/200/201567/20156782.jpg?version=20231026054257,K-POP
숀,습관,,인디뮤직,https://image.bugsm.co.kr/album/images/200/8362/836217.jpg?version=20250107024900,K-POP
숀,Way Back Home,,인디뮤직,https://image.bugsm.co.kr/album/images/200/7573/757375.jpg?version=20250107024004,K-POP
스웨덴세탁소,그래도 나 사랑하지,,인디뮤직,https://image.bugsm.co.kr/album/images/200/3926/392659.jpg?version=20211216022938,K-POP
스탠딩에그,무지개,,인디뮤직,https://image.bugsm.co.kr/album/images/200/200255/20025537.jpg?version=20220324010746,K-POP
스텐딩에그,오래된 노래,,인디뮤직,https://image.bugsm.co.kr/album/images/200/3400/340045.jpg?version=20210422183751,K-POP
스텔라장,빌런,,인디뮤직,https://image.bugsm.co.kr/album/images/200/203171/20317156.jpg?version=20250110011626,K-POP
스텔라장,우르릉 쾅쾅쾅,,인디뮤직,https://image.bugsm.co.kr/album/images/200/203171/20317156.jpg?version=20250110011626,K-POP
스텔라장,월급은 통장을 스칠 뿐,,인디뮤직,https://image.bugsm.co.kr/album/images/200/200952/20095285.jpg?version=20250110013409,K-POP
심규선,꽃불,,발라드,https://image.bugsm.co.kr/album/images/200/40909/4090915.jpg?version=20241011015339,K-POP
심규선,달에 지다,,발라드,https://image.bugsm.co.kr/album/images/200/40865/4086504.jpg?version=20241011030158,K-POP
심규선,수피,,발라드,https://image.bugsm.co.kr/album/images/200/40664/4066443.jpg?version=20250107015944,K-POP
심규선,야래향,,발라드,https://image.bugsm.co.kr/album/images/200/40189/4018980.jpg?version=20241011045812,K-POP
심규선,창백한 푸른 점,,록,https://image.bugsm.co.kr/album/images/200/40153/4015316.jpg?version=20241011025752,K-POP
심규선,화조도,,발라드,https://image.bugsm.co.kr/album/images/200/202802/20280251.jpg?version=20241011014103,K-POP
심규선,아라리,,발라드,https://image.bugsm.co.kr/album/images/200/200997/20099782.jpg?version=20241011020249,K-POP
심규선,달과 6펜스,,인디뮤직,https://image.bugsm.co.kr/album/images/200/5383/538331.jpg?version=20241011005814,K-POP
심규선,요란,,록,https://image.bugsm.co.kr/album/images/200/41082/4108286.jpg?version=20241011031528,K-POP
심규선,소로,,발라드,https://image.bugsm.co.kr/album/images/200/40664/4066443.jpg?version=20250107015944,K-POP
심규선,부디,,발라드,https://image.bugsm.co.kr/album/images/200/2482/248214.jpg?version=20241011033120,K-POP
심규선,밤의 정원,,발라드,https://image.bugsm.co.kr/album/images/200/40664/4066443.jpg?version=20250107015944,K-POP
심규선,난설헌,,발라드,https://image.bugsm.co.kr/album/images/200/41073/4107372.jpg?version=20241011033949,K-POP
씨야,미친사랑의노래,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/80201/8020137.jpg?version=20250530012143,K-POP
씨야,그 사람이 나를 사랑해요,,발라드,https://image.bugsm.co.kr/album/images/200/80269/8026965.jpg?version=20250107011713,K-POP
씨야,유죄,,발라드,https://image.bugsm.co.kr/album/images/200/80161/8016131.jpg?version=20220712051337,K-POP
씨야,The Day,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/1000/100005.jpg?version=20250107023334,K-POP
씨야,정,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/1000/100005.jpg?version=20250107023334,K-POP
씨야,Promise U,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/80161/8016131.jpg?version=20220712051337,K-POP
씨야,미워요,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/1000/100005.jpg?version=20250107023334,K-POP
아이리칸나,최종화,"2,000치즈",록,https://image.bugsm.co.kr/album/images/200/206037/20603787.jpg?version=20240127010235,K-POP
아이브,LOVE DIVE,,댄스,https://image.bugsm.co.kr/album/images/200/40737/4073710.jpg?version=20220415014740,K-POP
아이브,After LIKE,,댄스,https://image.bugsm.co.kr/album/images/200/40789/4078936.jpg?version=20220824005434,K-POP
아이브,ELEVEN,,댄스,https://image.bugsm.co.kr/album/images/200/40683/4068361.jpg?version=20250107032324,K-POP
아이브,Off The Record ,,댄스,https://image.bugsm.co.kr/album/images/200/40915/4091551.jpg?version=20240209023305,K-POP
아이브,Either Way,,알엔비,https://image.bugsm.co.kr/album/images/200/40915/4091551.jpg?version=20240209023305,K-POP
아이오아이,벚꽃이 지면,,댄스,https://image.bugsm.co.kr/album/images/200/200340/20034077.jpg?version=20250107033002,K-POP
아이유,Love wins all,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/40955/4095501.jpg?version=20250326042636,K-POP
아이유,홀씨,,힙합,https://image.bugsm.co.kr/album/images/200/40955/4095501.jpg?version=20250326042636,K-POP
아이유,마음을 드려요,,발라드,https://image.bugsm.co.kr/album/images/200/203063/20306376.jpg?version=20210422183751,K-POP
아이유,입술 사이 (50cm),,록,https://image.bugsm.co.kr/album/images/200/3911/391147.jpg?version=20211216010022,K-POP
아이유,드라마,,발라드,https://image.bugsm.co.kr/album/images/200/40695/4069567.jpg?version=20220104003927,K-POP
아이유,Celebrity,,댄스,https://image.bugsm.co.kr/album/images/200/40271/4027185.jpg?version=20221119004352,K-POP
아이유,strawberry moon,,록,https://image.bugsm.co.kr/album/images/200/40662/4066238.jpg?version=20211020063534,K-POP
아이유,미리 메리 크리스마스,,댄스,https://image.bugsm.co.kr/album/images/200/2499/249930.jpg?version=20211216015917,K-POP
아이유,크레파스,,댄스,https://image.bugsm.co.kr/album/images/200/4036/403619.jpg?version=20250107010406,K-POP
아이유,비밀의 화원,,발라드,https://image.bugsm.co.kr/album/images/200/201196/20119646.jpg?version=20210422183751,K-POP
아이유,이름에게,,발라드,https://image.bugsm.co.kr/album/images/200/200941/20094140.jpg?version=20220720042039,K-POP
아이유,나만 몰랐던 이야기,,발라드,https://image.bugsm.co.kr/album/images/200/2647/264791.jpg?version=20211216014653,K-POP
아이유,아이와 나의 바다,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/40271/4027185.jpg?version=20221119004352,K-POP
아이유,네모의 꿈,,발라드,https://image.bugsm.co.kr/album/images/200/41204/4120415.jpg?version=20250529011654,K-POP
아일릿,Magnetic,,댄스,https://image.bugsm.co.kr/album/images/200/206323/20632324.jpg?version=20250812014256,K-POP
아일릿,Lucky Girl Syndrome,,댄스,https://image.bugsm.co.kr/album/images/200/206323/20632324.jpg?version=20250812014256,K-POP
아일릿,Cherish,,댄스,https://image.bugsm.co.kr/album/images/200/206785/20678516.jpg?version=20241121014005,K-POP
아일릿,빌려온 고양이,,댄스,https://image.bugsm.co.kr/album/images/200/41210/4121023.jpg?version=20250708004416,K-POP
아일릿,Almond Chocolate,,댄스,https://image.bugsm.co.kr/album/images/200/207104/20710464.jpg?version=20250318013727,K-POP
악동뮤지션,낙하,,록,https://image.bugsm.co.kr/album/images/200/40586/4058623.jpg?version=20250107015943,K-POP
악동뮤지션,후라이의 꿈,,인디뮤직,https://image.bugsm.co.kr/album/images/200/40903/4090354.jpg?version=20230822072239,K-POP
안예은,낮에 뜨는 달,,발라드,https://image.bugsm.co.kr/album/images/200/40847/4084755.jpg?version=20240223044140,K-POP
안예은,만개화,,발라드,https://image.bugsm.co.kr/album/images/200/40816/4081696.jpg?version=20241101000354,K-POP
안예은,백유화,,발라드,https://image.bugsm.co.kr/album/images/200/204754/20475494.jpg?version=20231026065338,K-POP
안예은,야화,,발라드,https://image.bugsm.co.kr/album/images/200/40642/4064297.jpg?version=20210902003411,K-POP
안예은,위화,,발라드,https://image.bugsm.co.kr/album/images/200/202321/20232183.jpg?version=20250501000500,K-POP
안예은,홍연,,발라드,https://image.bugsm.co.kr/album/images/200/6033/603392.jpg?version=20250107033017,K-POP
안예은,상사화,,발라드,https://image.bugsm.co.kr/album/images/200/6261/626111.jpg?version=20241004155057,K-POP
안예은,출항,,발라드,https://image.bugsm.co.kr/album/images/200/203884/20388463.jpg?version=20231209002940,K-POP
안예은,"별, 그대, 별",,발라드,https://image.bugsm.co.kr/album/images/200/7633/763333.jpg?version=20190426042021,K-POP
양다일,바다가 들린다,,발라드,https://image.bugsm.co.kr/album/images/200/40634/4063404.jpg?version=20240223042904,K-POP
양파,령혼,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/1898/189801.jpg?version=20231206115027,K-POP
에일리,첫눈처럼 너에게 가겠다,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/200761/20076172.jpg?version=20231026052657,K-POP
에코,행복한 나를,,발라드,https://image.bugsm.co.kr/album/images/200/75/7567.jpg?version=20230405134040,K-POP
엔플라잉,Firefly,,록,https://image.bugsm.co.kr/album/images/200/40804/4080492.jpg?version=20221022012834,K-POP
엔플라잉,네가 내 마음에 자리 잡았다,,록,https://image.bugsm.co.kr/album/images/200/41030/4103062.jpg?version=20240625180024,K-POP
여자친구,우리의 다정한 계절 속에,,댄스,https://image.bugsm.co.kr/album/images/200/41125/4112552.jpg?version=20250120000005,K-POP
여자친구,교차로,,댄스,https://image.bugsm.co.kr/album/images/200/203037/20303750.jpg?version=20250403003449,K-POP
여자친구,밤,,댄스,https://image.bugsm.co.kr/album/images/200/201636/20163624.jpg?version=20240701000955,K-POP
여자친구,MAGO,,댄스,https://image.bugsm.co.kr/album/images/200/40135/4013503.jpg?version=20250403011024,K-POP
달의하루,순혈주의자,"2,000치즈",록,https://image.bugsm.co.kr/album/images/200/205780/20578027.jpg?version=20230723180026,K-POP
오윤혜,I wish,,발라드,https://image.bugsm.co.kr/album/images/200/80245/8024568.jpg?version=20230701060721,K-POP
오현란,조금만 사랑했다면,,발라드,https://image.bugsm.co.kr/album/images/200/1511/151167.jpg?version=20220720035145,K-POP
